Title,cast,crew,genres,final_tag,movie_id
Captain Underpants: The First Epic Movie,Kevin Hart,David Soren,Adventure Action Animation Comedy Family,"Two mischievous kids hypnotize their mean elementary school principal and turn him into their comic book creation, the kind-hearted and elastic-banded Captain Underpants.en",268531.0
Dean,Demetri Martin,Demetri Martin,Romance Comedy,A freelance illustrator in New York suffers a quarter-life crisis and leaves his home for the west coast.en,305342.0
The Mummy,Tom Cruise,Alex Kurtzman,Adventure Action Fantasy,Dashing legionnaire Rick O'Connell stumbles upon the hidden ruins of Hamunaptra while in the midst of a battle to claim the area in 1920s Egypt. It has been over three thousand years since former High Priest Imhotep suffered a fate worse than death as a punishment for a forbidden love—along with a curse that guarantees eternal doom upon the world if he is ever awoken.en,564.0
It Comes at Night,Joel Edgerton,Trey Edward Shults,Drama Horror Mystery,"Secure within a desolate home as an unnatural threat terrorizes the world, a man has established a tenuous domestic order with his wife and son, but this will soon be put to test when a desperate young family arrives seeking refuge.en",418078.0
My Cousin Rachel,Rachel Weisz,Roger Michell,Drama Romance,"A young Englishman plots revenge against his mysterious, beautiful cousin, believing that she murdered his guardian. But his feelings become complicated as he finds himself falling under the beguiling spell of her charms.en",413998.0
Megan Leavey,Kate Mara,Gabriela Cowperthwaite,Drama War,"The true story of Marine Corporal Megan Leavey, who forms a powerful bond with an aggressive combat dog, Rex. While deployed in Iraq, the two complete more than 100 missions and save countless lives, until an IED explosion puts their faithfulness to the test.en",424488.0
Beatriz at Dinner,Salma Hayek,Miguel Arteta,Comedy Drama,"Beatriz, an immigrant from a poor town in Mexico, has drawn on her innate kindness to build a career as a health practitioner. Doug Strutt is a cutthroat, self-satisfied billionaire. When these two opposites meet at a dinner party, their worlds collide, and neither will ever be the same.en",429107.0
Cars 3,Owen Wilson,Brian Fee,Animation Adventure Comedy Family,"Blindsided by a new generation of blazing-fast racers, the legendary Lightning McQueen is suddenly pushed out of the sport he loves. To get back in the game, he will need the help of an eager young race technician with her own plan to win, inspiration from the late Fabulous Hudson Hornet, and a few unexpected turns. Proving that #95 isn't through yet will test the heart of a champion on Piston Cup Racing’s biggest stage!en",260514.0
Rough Night,Paul W. Downs (screenplay); Scarlett Johansson,Lucia Aniello,Drama Comedy,"Five best friends from college reunite 10 years later for a wild bachelorette weekend in Miami. Their hard partying takes a hilariously dark turn when they accidentally kill a male stripper. Amidst the craziness of trying to cover it up, they're ultimately brought closer together when it matters most.en",397422.0
All Eyez on Me,Demetrius Shipp Jr.,Benny Boom,Music Drama,"All Eyez on Me chronicles the life and legacy of Tupac Shakur, including his rise to superstardom as a hip-hop artist, actor, poet and activist, as well as his imprisonment and prolific, controversial time at Death Row Records. Against insurmountable odds, Tupac rose to become a cultural icon whose career and persona both continue to grow long after his passing.en",402529.0
47 Meters Down,Mandy Moore,Johannes Roberts,Horror Drama Thriller Adventure,"Two sisters on Mexican vacation are trapped in a shark observation cage at the bottom of the ocean, with oxygen running low and great whites circling nearby, they have less than an hour of air left to figure out how to get to the surface.en",403119.0
The Book of Henry,Naomi Watts,Colin Trevorrow,Drama Crime Thriller,"Susan, a single mother of two, works as a waitress in a small town. Her son, Henry, is an 11-year-old genius who not only manages the family finances but acts as emotional support for his mother and younger brother. When Henry discovers that the girl next door has a terrible secret, he implores Susan to take matters into her own hands.en",382614.0
Transformers: The Last Knight,Mark Wahlberg,Michael Bay,Action Adventure Science Fiction Fantasy,"Autobots and Decepticons are at war, with humans on the sidelines. Optimus Prime is gone. The key to saving our future lies buried in the secrets of the past, in the hidden history of Transformers on Earth.en",335988.0
The Beguiled,Colin Farrell,Sofia Coppola,Drama,"During the Civil War, at a Southern girls’ boarding school, young women take in an injured enemy soldier. As they provide refuge and tend to his wounds, the house is taken over with sexual tension and dangerous rivalries, and taboos are broken in an unexpected turn of events.en",399019.0
The Big Sick,Kumail Nanjiani,Michael Showalter,Comedy Drama Romance,"Pakistan-born comedian Kumail Nanjiani and grad student Emily Gardner fall in love but struggle as their cultures clash. When Emily contracts a mysterious illness, Kumail finds himself forced to face her feisty parents, his family's expectations, and his true feelings.en",416477.0
The Bad Batch,Suki Waterhouse,Ana Lily Amirpour,Drama Horror Science Fiction,"In a desert wasteland in Texas, a muscled cannibal breaks one important rule: don’t play with your food.en",316154.0
Baby Driver,Ansel Elgort,Edgar Wright,Action Crime,"After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.en",339403.0
Okja,Jon Ronson (screenplay); Tilda Swinton,Bong Joon-ho,Adventure Drama Science Fiction,"A young girl named Mija risks everything to prevent a powerful, multi-national company from kidnapping her best friend - a massive animal named Okja.en",387426.0
Despicable Me 3,,"Pierre Coffin, Kyle Balda (directors), Eric Guillon (co-director); Cinco Paul, Ken Daurio (screenplay); Steve Carell, Kristen Wiig, Trey Parker, Miranda Cosgrove, Dana Gaier, Nev Scharrel, Steve Coogan, Jenny Slate, Julie Andrews",Action Animation Comedy Family Adventure,Gru and his wife Lucy must stop former '80s child star Balthazar Bratt from achieving world domination.en,324852.0
The House,Brendan O'Brien (screenplay); Will Ferrell,Andrew J. Cohen,Animation Drama Comedy Horror,"Across different eras, a poor family, an anxious developer and a fed-up landlady become tied to the same mysterious house in this animated dark comedy.en",926899.0
The Little Hours,Alison Brie,Jeff Baena,Comedy,"Garfagnana, Italy, 1347. The handsome servant Masseto, fleeing from his vindictive master, takes shelter in a nunnery where three young nuns, Sister Alessandra, Sister Ginevra and Sister Fernanda, try unsuccessfully to find out what their purpose in life is, a conundrum that each of them faces in different ways.en",411873.0
Inconceivable,Nicolas Cage,Jonathan Baker,Thriller Drama,"A mother looks to escape her abusive past by moving to a new town where she befriends another mother, who grows suspicious of her.en",433630.0
2:22,Michiel Huisman,Paul Currie,Drama Thriller Romance Science Fiction Mystery,"A man's life is derailed when an ominous pattern of events repeats itself in exactly the same manner every day, ending at precisely 2:22 p.m.en",269795.0
A Ghost Story,Casey Affleck,David Lowery,Drama Fantasy,"Recently deceased, a white-sheeted ghost returns to his suburban home to console his bereft wife, only to find that in his spectral state he has become unstuck in time, forced to watch passively as the life he knew and the woman he loves slowly slip away.en",428449.0
Spider-Man: Homecoming,John Francis Daley,Jon Watts,Action Adventure Science Fiction Drama,"Following the events of Captain America: Civil War, Peter Parker, with the help of his mentor Tony Stark, tries to balance his life as an ordinary high school student in Queens, New York City, with fighting crime as his superhero alter ego Spider-Man as a new threat, the Vulture, emerges.en",315635.0
War for the Planet of the Apes,Mark Bomback (screenplay); Andy Serkis,Matt Reeves,Drama Science Fiction War,"Caesar and his apes are forced into a deadly conflict with an army of humans led by a ruthless Colonel. After the apes suffer unimaginable losses, Caesar wrestles with his darker instincts and begins his own mythic quest to avenge his kind. As the journey finally brings them face to face, Caesar and the Colonel are pitted against each other in an epic battle that will determine the fate of both their species and the future of the planet.en",281338.0
Wish Upon,Joey King,John Leonetti,Animation,"After a series of mishaps, Mickey, Minnie and the gang are separated all over the world and must try to get back to Hot Dog Hills by Christmas Eve. A mysterious and jolly stranger shows up to tell them about The Wishing Star, which could be the secret to bringing everybody home in time to celebrate together.en",864390.0
Dunkirk,Fionn Whitehead,Christopher Nolan,War Action Drama,"The story of the miraculous evacuation of Allied soldiers from Belgium, Britain, Canada and France, who were cut off and surrounded by the German army from the beaches and harbour of Dunkirk between May 26th and June 4th 1940 during World War II.en",374720.0
Girls Trip,Regina Hall,Malcolm D. Lee,Comedy,"Four girlfriends take a trip to New Orleans for an annual festival and, along the way, rediscover their wild sides and strengthen the bonds of sisterhood.en",417870.0
First Kill,Hayden Christensen,Steven C. Miller,Action Thriller Crime,A police chief tries to solve a kidnapping that involves a bank robber holding a young boy hostage.en,410554.0
Atomic Blonde,Charlize Theron,David Leitch,Action Thriller,An undercover MI6 agent is sent to Berlin during the Cold War to investigate the murder of a fellow agent and recover a missing list of double agents.en,341013.0
The Emoji Movie,Eric Siegel,Tony Leondis,Animation Family Comedy,"Gene, a multi-expressional emoji, sets out on a journey to become a normal emoji.en",378236.0
An Inconvenient Sequel: Truth to Power,,"Bonni Cohen, Jon Shenk",Documentary,"A decade after An Inconvenient Truth brought climate change into the heart of popular culture comes the riveting and rousing follow-up that shows just how close we are to a real energy revolution. Vice President Al Gore continues his tireless fight, traveling around the world training an army of climate champions and influencing international climate policy. Cameras follow him behind the scenes—in moments private and public, funny and poignant—as he pursues the empowering notion that while the stakes have never been higher, the perils of climate change can be overcome with human ingenuity and passion.en",432602.0
